date,PRCP,SNOW,SNWD,TMAX,TMIN,attribute_PRCP,attribute_SNOW,attribute_SNWD,attribute_TMAX,attribute_TMIN
1893-06-18T00:00:00,0.0,,,317.0,156.0,"P,,6,",,,",,6,",",,6,"
1893-06-19T00:00:00,0.0,,,256.0,117.0,"P,,6,",,,",,6,",",,6,"
1893-06-20T00:00:00,0.0,,,261.0,100.0,"P,,6,",,,",,6,",",,6,"
1893-06-21T00:00:00,0.0,,,217.0,106.0,"P,,6,",,,",,6,",",,6,"
1893-06-22T00:00:00,0.0,,,317.0,100.0,"P,,6,",,,",,6,",",,6,"
1893-06-23T00:00:00,0.0,,,211.0,83.0,"P,,6,",,,",,6,",",,6,"
1893-06-24T00:00:00,0.0,,,267.0,72.0,"P,,6,",,,",,6,",",,6,"
1893-06-25T00:00:00,0.0,,,356.0,94.0,"P,,6,",,,",,6,",",,6,"
1893-06-26T00:00:00,0.0,,,294.0,89.0,"P,,6,",,,",,6,",",,6,"
1893-06-27T00:00:00,0.0,,,294.0,111.0,"P,,6,",,,",,6,",",,6,"
1893-06-28T00:00:00,0.0,,,272.0,117.0,"P,,6,",,,",,6,",",,6,"
1893-06-29T00:00:00,0.0,,,267.0,111.0,"P,,6,",,,",,6,",",,6,"
1893-06-30T00:00:00,0.0,,,283.0,94.0,"P,,6,",,,",,6,",",,6,"
1893-07-01T00:00:00,,,,311.0,117.0,,,,",,6,",",,6,"
1893-07-02T00:00:00,,,,339.0,139.0,,,,",,6,",",,6,"
1893-07-03T00:00:00,,,,317.0,178.0,,,,",,6,",",,6,"
1893-07-04T00:00:00,,,,311.0,139.0,,,,",,6,",",,6,"
1893-07-05T00:00:00,,,,278.0,128.0,,,,",,6,",",,6,"
1893-07-06T00:00:00,,,,261.0,128.0,,,,",,6,",",,6,"
1893-07-07T00:00:00,,,,244.0,94.0,,,,",,6,",",,6,"
1893-07-08T00:00:00,,,,317.0,100.0,,,,",,6,",",,6,"
1893-07-09T00:00:00,,,,344.0,161.0,,,,",,6,",",,6,"
1893-07-10T00:00:00,,,,328.0,172.0,,,,",,6,",",,6,"
1893-07-11T00:00:00,,,,306.0,222.0,,,,",,6,",",,6,"
1893-07-12T00:00:00,,,,267.0,83.0,,,,",,6,",",,6,"
1893-07-13T00:00:00,,,,289.0,150.0,,,,",,6,",",,6,"
1893-07-14T00:00:00,,,,283.0,117.0,,,,",,6,",",,6,"
1893-07-15T00:00:00,,,,283.0,106.0,,,,",,6,",",,6,"
1893-07-16T00:00:00,,,,311.0,128.0,,,,",,6,",",,6,"
1893-07-17T00:00:00,,,,322.0,150.0,,,,",,6,",",,6,"
1893-07-18T00:00:00,,,,367.0,150.0,,,,",,6,",",,6,"
1893-07-19T00:00:00,,,,367.0,144.0,,,,",,6,",",,6,"
1893-07-20T00:00:00,,,,350.0,172.0,,,,",,6,",",,6,"
1893-07-21T00:00:00,,,,333.0,183.0,,,,",,6,",",,6,"
1893-07-22T00:00:00,,,,356.0,183.0,,,,",,6,",",,6,"
1893-07-23T00:00:00,,,,294.0,183.0,,,,",,6,",",,6,"
1893-07-24T00:00:00,,,,306.0,161.0,,,,",,6,",",,6,"
1893-07-25T00:00:00,,,,283.0,167.0,,,,",,6,",",,6,"
1893-07-26T00:00:00,109.0,,,317.0,183.0,",,6,",,,",,6,",",,6,"
1893-07-27T00:00:00,,,,317.0,156.0,,,,",,6,",",,6,"
1893-07-28T00:00:00,,,,317.0,161.0,,,,",,6,",",,6,"
1893-07-29T00:00:00,,,,300.0,150.0,,,,",,6,",",,6,"
1893-07-30T00:00:00,,,,322.0,144.0,,,,",,6,",",,6,"
1893-07-31T00:00:00,,,,278.0,200.0,,,,",,6,",",,6,"
1893-08-01T00:00:00,0.0,,,300.0,156.0,"P,,6,",,,",,6,",",,6,"
1893-08-02T00:00:00,0.0,,,317.0,156.0,"P,,6,",,,",,6,",",,6,"
1893-08-03T00:00:00,0.0,,,317.0,156.0,"P,,6,",,,",,6,",",,6,"
1893-08-04T00:00:00,0.0,,,344.0,222.0,"P,,6,",,,",,6,",",,6,"
1893-08-05T00:00:00,0.0,,,344.0,200.0,"P,,6,",,,",,6,",",,6,"
1893-08-06T00:00:00,0.0,,,322.0,211.0,"P,,6,",,,",,6,",",,6,"
1893-08-07T00:00:00,0.0,,,283.0,183.0,"P,,6,",,,",,6,",",,6,"
1893-08-08T00:00:00,0.0,,,289.0,172.0,"P,,6,",,,",,6,",",,6,"
1893-08-09T00:00:00,0.0,,,311.0,150.0,"P,,6,",,,",,6,",",,6,"
1893-08-10T00:00:00,0.0,,,300.0,144.0,"P,,6,",,,",,6,",",,6,"
1893-08-11T00:00:00,0.0,,,283.0,139.0,"T,,6,",,,",,6,",",,6,"
1893-08-12T00:00:00,0.0,,,278.0,111.0,"P,,6,",,,",,6,",",,6,"
1893-08-13T00:00:00,20.0,,,289.0,111.0,",,6,",,,",,6,",",,6,"
1893-08-14T00:00:00,0.0,,,256.0,122.0,"P,,6,",,,",,6,",",,6,"
1893-08-15T00:00:00,0.0,,,239.0,106.0,"P,,6,",,,",,6,",",,6,"
1893-08-16T00:00:00,0.0,,,272.0,89.0,"P,,6,",,,",,6,",",,6,"
1893-08-17T00:00:00,0.0,,,322.0,189.0,"P,,6,",,,",,6,",",,6,"
1893-08-18T00:00:00,10.0,,,317.0,139.0,",,6,",,,",,6,",",,6,"
1893-08-19T00:00:00,0.0,,,311.0,189.0,"P,,6,",,,",,6,",",,6,"
1893-08-20T00:00:00,18.0,,,289.0,167.0,",,6,",,,",,6,",",,6,"
1893-08-21T00:00:00,0.0,,,294.0,156.0,"P,,6,",,,",,6,",",,6,"
1893-08-22T00:00:00,0.0,,,289.0,106.0,"P,,6,",,,",,6,",",,6,"
1893-08-23T00:00:00,0.0,,,250.0,117.0,"P,,6,",,,",,6,",",,6,"
1893-08-24T00:00:00,0.0,,,278.0,83.0,"P,,6,",,,",,6,",",,6,"
1893-08-25T00:00:00,0.0,,,322.0,100.0,"P,,6,",,,",,6,",",,6,"
1893-08-26T00:00:00,0.0,,,283.0,172.0,"P,,6,",,,",,6,",",,6,"
1893-08-27T00:00:00,0.0,,,272.0,106.0,"P,,6,",,,",,6,",",,6,"
1893-08-28T00:00:00,0.0,,,272.0,78.0,"P,,6,",,,",,6,",",,6,"
1893-08-29T00:00:00,0.0,,,300.0,117.0,"P,,6,",,,",,6,",",,6,"
1893-08-30T00:00:00,46.0,,,267.0,150.0,",,6,",,,",,6,",",,6,"
1893-08-31T00:00:00,0.0,,,239.0,183.0,"P,,6,",,,",,6,",",,6,"
1893-09-01T00:00:00,,,,272.0,128.0,,,,",,6,",",,6,"
1893-09-02T00:00:00,,,,283.0,117.0,,,,",,6,",",,6,"
1893-09-03T00:00:00,,,,289.0,133.0,,,,",,6,",",,6,"
1893-09-04T00:00:00,,,,306.0,139.0,,,,",,6,",",,6,"
1893-09-05T00:00:00,,,,283.0,133.0,,,,",,6,",",,6,"
1893-09-06T00:00:00,,,,306.0,156.0,,,,",,6,",",,6,"
1893-09-07T00:00:00,,,,250.0,117.0,,,,",,6,",",,6,"
1893-09-08T00:00:00,,,,228.0,67.0,,,,",,6,",",,6,"
1893-09-09T00:00:00,,,,239.0,111.0,,,,",,6,",",,6,"
1893-09-10T00:00:00,,,,278.0,117.0,,,,",,6,",",,6,"
1893-09-11T00:00:00,,,,283.0,172.0,,,,",,6,",",,6,"
1893-09-12T00:00:00,,,,244.0,111.0,,,,",,6,",",,6,"
1893-09-13T00:00:00,,,,189.0,44.0,,,,",,6,",",,6,"
1893-09-14T00:00:00,,,,200.0,50.0,,,,",,6,",",,6,"
1893-09-15T00:00:00,,,,294.0,78.0,,,,",,6,",",,6,"
